"Date","RPU","RPU exploitables","Hospitalisations","Mutations","Transferts","Taux hospitalisation"
2014-11-05,1215,871,219,201,18,25.14
2014-11-06,1330,947,219,208,11,23.13
2014-11-07,1257,982,270,247,23,27.49
2014-11-08,1370,978,235,215,20,24.03
2014-11-09,1373,935,201,176,25,21.5
2014-11-10,1470,1025,216,198,18,21.07
2014-11-11,1233,843,188,177,11,22.3
2014-11-12,1381,940,211,199,12,22.45
2014-11-13,1296,929,222,206,16,23.9
2014-11-14,1332,1013,303,285,18,29.91
2014-11-15,1419,1000,259,239,20,25.9
2014-11-16,1342,938,187,174,13,19.94
2014-11-17,1347,938,223,206,17,23.77
2014-11-18,1310,941,214,202,12,22.74
2014-11-19,1325,935,254,234,20,27.17
2014-11-20,1367,922,207,199,8,22.45
2014-11-21,1319,910,209,186,23,22.97
2014-11-22,1385,962,219,194,25,22.77
2014-11-23,1503,1032,189,174,15,18.31
2014-11-24,1309,913,199,179,20,21.8
2014-11-25,1250,862,220,198,22,25.52
2014-11-26,1268,884,207,196,11,23.42
2014-11-27,1307,935,234,210,24,25.03
2014-11-28,1298,910,219,201,18,24.07
2014-11-29,1336,890,214,192,22,24.04
2014-11-30,1410,949,199,185,14,20.97
2014-12-01,1416,984,230,213,17,23.37
2014-12-02,1255,851,208,189,19,24.44
2014-12-03,1264,854,208,188,20,24.36
2014-12-04,1169,866,232,216,16,26.79
2014-12-05,1337,890,188,173,15,21.12
2014-12-06,1298,852,201,183,18,23.59
2014-12-07,1436,984,198,184,14,20.12
2014-12-08,1464,1023,243,233,10,23.75
2014-12-09,1316,934,226,209,17,24.2
2014-12-10,1259,881,197,174,23,22.36
2014-12-11,1270,901,209,191,18,23.2
2014-12-12,1392,1008,253,238,15,25.1
2014-12-13,1427,993,220,199,21,22.16
2014-12-14,1384,971,192,178,14,19.77
2014-12-15,1450,1053,263,247,16,24.98
2014-12-16,1292,880,220,199,21,25
2014-12-17,1267,861,232,216,16,26.95
2014-12-18,1162,757,203,193,10,26.82
2014-12-19,1329,915,250,226,24,27.32
2014-12-20,1321,900,197,179,18,21.89
2014-12-21,1287,854,174,164,10,20.37
2014-12-22,1321,970,230,221,9,23.71
2014-12-23,1193,874,187,178,9,21.4
2014-12-24,1183,852,214,199,15,25.12
2014-12-25,1126,779,206,190,16,26.44
2014-12-26,1438,1046,257,242,15,24.57
2014-12-27,1453,1081,302,285,17,27.94
2014-12-28,1134,799,193,184,9,24.16
2014-12-29,1478,1083,255,238,17,23.55
2014-12-30,1326,945,261,240,21,27.62
2014-12-31,1195,885,222,215,7,25.08
2015-01-01,1350,887,218,195,23,24.58
2015-01-02,1385,975,271,251,20,27.79
2015-01-03,1238,836,210,200,10,25.12
2015-01-04,1233,869,186,170,16,21.4
2015-01-05,1378,907,216,205,11,23.81
2015-01-06,1275,891,229,218,11,25.7
2015-01-07,1282,881,215,207,8,24.4
2015-01-08,1265,880,211,198,13,23.98
2015-01-09,1254,863,210,196,14,24.33
2015-01-10,1385,939,241,232,9,25.67
2015-01-11,1291,915,190,180,10,20.77
2015-01-12,1404,958,223,207,16,23.28
2015-01-13,1130,775,216,195,21,27.87
2015-01-14,1193,843,198,190,8,23.49
2015-01-15,1351,962,251,237,14,26.09
2015-01-16,1307,899,233,220,13,25.92
2015-01-17,1363,931,198,185,13,21.27
2015-01-18,1359,926,183,170,13,19.76
2015-01-19,1397,987,253,240,13,25.63
2015-01-20,1242,854,200,181,19,23.42
2015-01-21,1159,865,227,210,17,26.24
2015-01-22,1257,886,224,206,18,25.28
2015-01-23,1346,975,280,269,11,28.72
2015-01-24,1393,999,238,225,13,23.82
2015-01-25,1527,1094,232,211,21,21.21
2015-01-26,1456,1083,272,259,13,25.12
2015-01-27,1421,973,236,226,10,24.25
2015-01-28,1196,833,231,219,12,27.73
2015-01-29,1359,989,257,248,9,25.99
2015-01-30,1379,952,242,232,10,25.42
2015-01-31,1516,1006,238,208,30,23.66
2015-02-01,1310,901,164,158,6,18.2
2015-02-02,1401,950,224,212,12,23.58
2015-02-03,1304,921,223,211,12,24.21
2015-02-04,1319,909,215,206,9,23.65
2015-02-05,1382,974,234,221,13,24.02
2015-02-06,1382,1008,241,232,9,23.91
2015-02-07,1400,995,190,177,13,19.1
2015-02-08,1446,961,156,149,7,16.23
2015-02-09,1550,1090,243,229,14,22.29
2015-02-10,1264,891,228,217,11,25.59
2015-02-11,1303,932,228,216,12,24.46
2015-02-12,1407,982,249,234,15,25.36
2015-02-13,1500,1024,268,250,18,26.17
2015-02-14,1407,944,228,213,15,24.15
2015-02-15,1545,1062,210,196,14,19.77
2015-02-16,1573,1119,253,240,13,22.61
2015-02-17,1357,950,226,214,12,23.79
2015-02-18,1352,959,227,210,17,23.67
2015-02-19,1417,977,241,225,16,24.67
2015-02-20,1400,953,238,221,17,24.97
2015-02-21,1456,978,236,222,14,24.13
2015-02-22,1447,958,180,165,15,18.79
2015-02-23,1438,985,257,242,15,26.09
2015-02-24,1249,890,276,262,14,31.01
2015-02-25,1213,876,206,194,12,23.52
2015-02-26,1271,845,236,218,18,27.93
2015-02-27,1323,936,248,230,18,26.5
2015-02-28,1418,965,218,200,18,22.59
2015-03-01,1310,927,191,182,9,20.6
2015-03-02,1284,904,225,213,12,24.89
2015-03-03,1252,909,243,224,19,26.73
2015-03-04,1250,881,224,211,13,25.43
2015-03-05,1281,940,228,212,16,24.26
2015-03-06,1308,914,228,219,9,24.95
2015-03-07,1352,890,207,192,15,23.26
2015-03-08,1463,995,206,195,11,20.7
2015-03-09,1423,954,218,207,11,22.85
2015-03-10,1213,817,208,198,10,25.46
2015-03-11,1373,935,207,201,6,22.14
2015-03-12,1385,989,220,208,12,22.24
2015-03-13,1389,975,253,247,6,25.95
2015-03-14,1421,953,218,205,13,22.88
2015-03-15,1535,1057,206,197,9,19.49
2015-03-16,1613,1111,244,224,20,21.96
2015-03-17,1339,938,221,207,14,23.56
2015-03-18,1372,986,235,222,13,23.83
2015-03-19,1272,892,226,211,15,25.34
2015-03-20,1378,933,267,247,20,28.62
2015-03-21,1528,1086,247,232,15,22.74
2015-03-22,1387,1003,210,196,14,20.94
2015-03-23,1623,1150,285,267,18,24.78
2015-03-24,1335,942,247,228,19,26.22
2015-03-25,1310,892,230,220,10,25.78
2015-03-26,1158,785,217,207,10,27.64
2015-03-27,1406,986,240,223,17,24.34
2015-03-28,1431,1008,226,213,13,22.42
2015-03-29,1343,984,224,212,12,22.76
2015-03-30,1576,1118,274,249,25,24.51
2015-03-31,1058,659,161,148,13,24.43
2015-04-01,1334,1027,300,281,19,29.21
2015-04-02,1405,1032,248,234,14,24.03
2015-04-03,1276,863,188,177,11,21.78
2015-04-04,1476,1145,303,291,12,26.46
2015-04-05,1378,995,201,192,9,20.2
2015-04-06,1350,966,209,199,10,21.64
2015-04-07,1509,1058,263,246,17,24.86
2015-04-08,1376,986,247,230,17,25.05
2015-04-09,1248,832,202,190,12,24.28
